"songId"	"title"	"author"	"category"	"segment1"	"segment2"	"segment3"	"segment4"	"segment5"	"segment6"	"segment7"	"segment8"
"SDAH_22"	"22. God Is Our Song"	""	"SDA Hymnal (SDAH)"	"God is our Song, and every singer blest
Who praising Him finds energy and rest.
All who praise God with unaffected joy
Give back to us the wisdom we destroy,
Give back to us the wisdom we destroy."	"God is our Song, for Jesus comes to save;
While praising Him we offer all we have.
New songs we sing, in ventures new unite,
When Jesus leads us upward into light,
When Jesus leads us upward into light."	"This is the Song no conflict ever drowns;
Who praises God our human wrath disowns.
Love knows what rich complexities of sound
God builds upon a simple common ground,
God builds upon a simple common ground."	"God is our Silence when no songs are sung,
When ecstasy or sorrow stills the tongue.
Glorious the faith which silently obeys
Until we find again the voice of praise,
Until we find again the voice of praise."	""	""	""	""
"SDAH_23"	"23. Now the Joyful Bells A-Ringing"	""	"SDA Hymnal (SDAH)"	"Now the joyful bells a-ring,
All ye mountains of the Lord!
Lift our hearts like birds a-winging,
All ye mountains, praise the Lord!
Now our festal season bringing
Kinsmen all to bide and board,
Sets our cheery voices singing:
All ye mountains, praise the Lord!"	"Dear our home as dear none other;
Where the mountains praise the Lord!
Gladly here our care we smother;
Where the mountains praise the Lord!
Here we know that Christ our brother
Binds us all as by a cord:
He was born of Mary mother
Where the mountains praise the Lord!"	"Cold the year, new whiteness wearing,
All ye mountains, praise the Lord!
Peace, good will to us a-bearing,
All ye mountains, praise the Lord!
Now we all God's goodness sharing
Break the bread and sheath the Sword:
Bright our hearths the signal flaring,
All ye mountains, praise the Lord!"	""	""	""	""	""
"SDAH_24"	"24. Every Star Shall Sing a Carol"	""	"SDA Hymnal (SDAH)"	"Every star shall sing a carol;
Every creatures, high or low,
Come and praise the King of heaven
By whatever name you know.
God above, Man below,
Holy is the name I know."	"When the King of all creation
Had a cradle on the earth,
Holy was the human body,
Holy was the human birth.
God above, Man below,
Holy is the name I know."	"Every star and every planet,
Every creature, high or low,
Come and praise the King of heaven
By whatever name you know.
God above, Man below,
Holy is the name I know."	""	""	""	""	""
"SDAH_25"	"25. Praise the Lord, His Glories Show"	""	"SDA Hymnal (SDAH)"	"Praise the Lord, His glories show,
Alleluia!
Saints within His courts below,
Alleluia!
Angels 'round His throne above,
Alleluia!
All that see and share His love.
Alleluia!"	"Earth to heaven and heaven to earth,
Alleluia!
Tell His wonders, sing His worth,
Alleluia!
Age to age and shore to shore,
Alleluia!
Praise Him, praise Him evermore!
Alleluia!"	"Praise the Lord, His mercies trace,
Alleluia!
Praise His providence and grace,
Alleluia!
All that He for man hath done,
Alleluia!
All He sends us through His Son.
Alleluia!"	""	""	""	""	""
"SDAH_26"	"26. Praise the Lord! You Heavens Adore Him"	""	"SDA Hymnal (SDAH)"	"Praise the Lord! you heavens, adore Him;
Praise Him, angels in the height;
Sun and moon, rejoice before Him,
Praise Him, all you stars of light.
Praise the Lord, for He has spoken;
Worlds His mighty voice obeyed;
Laws which never shall be broken
For their guidance He has made."	"Praise the Lord! for He is glorious;
Never shall His promise fail.
God has made His saints victorious;
Sin and death shall not prevail.
Praise the God of our salvation!
Hosts on high, His power proclaim;
Heaven and earth and all creation,
Laud and magnify His name."	"Worship, honor, glory, blessing,
Lord, we offer as our gift.
Young and old, Your praise expressing,
Our glad songs to You we lift.
All the saints in heaven adore You,
We would join their glad acclaim;
As your angels serve before You,
So on earth we praise Your name."	""	""	""	""	""
"SDAH_27"	"27. Rejoice, Ye Pure in Heart!"	""	"SDA Hymnal (SDAH)"	"Rejoice, ye pure in heart!
Rejoice, give thanks, and sing;
Your festal banner wave on high,
The cross of Christ your King."	"Rejoice! Rejoice!
Rejoice, give thanks, and sing!"	"With voice as full and strong
As ocean's surging praise,
Send forth the sturdy hymns of old,
The psalms of ancient days."	"With all the angel choirs,
With all the saints on earth
Pour out the strains of joy and bliss,
True rapture, noblest mirth."	"Yes, on through life's long path,
Still chanting as ye go;
From youth to age, by night and day,
In gladness and in woe."	"Praise Him who reigns on high,
The Lord whom we adore
The Father, Son, and Holy Ghost,
One God forevermore."	""	""
"SDAH_28"	"28. Praise We the Lord"	""	"SDA Hymnal (SDAH)"	"Praise we the Lord, who made all beauty
For all our senses to enjoy;
Owe we our humble thanks and duty
That simple pleasures never cloy;
Praise we the Lord, who made all beauty
For all our senses to enjoy."	"Praise Him who loves to see young lovers,
Fresh hearts that swell with youthful pride;
Thank Him who sends the sun above us,
As bridegroom fit to meet his bride;
Praise Him who loves to see young lovers,
Fresh hearts that swell with youthful pride."	"Praise Him who by a simple flower
Lifts up our hearts to things above;
Thank Him who gives to each one power
To find a friend to know and love;
Praise Him who by a simple flower
Lifts up our hearts to things above."	""	""	""	""	""
"SDAH_29"	"29. Sing Praise to God"	""	"SDA Hymnal (SDAH)"	"Sing praise to God who reigns above,
The God of all creation,
The God of power, the God of love,
The God of our salvation;
With healing balm my soul He fills,
And every faithless murmur stills;
To God all praise and glory!"	"What God's almighty power hath made
His gracious mercy keepeth;
By morning glow or evening shade,
His watchful eye ne'er sleepeth,
Within the kingdom of His might,
Lo! all is just, and all is right:
To God all praise and glory!"	"The Lord is never far away,
Throughout all grief distressing
An ever-present help and stay,
Our peace, and joy, and blessing.
As with a mother's tender hand,
He leads His own, His chosen band;
To God all praise and glory!"	"Then all my gladsome way along,
I sing aloud Thy praises,
That men may hear the grateful song
My voice unwearied raises:
Be joyful in the Lord, my heart!
Both soul and body bear your part!
To God all praise and glory!"	""	""	""	""
"SDAH_30"	"30. Holy God, We Praise Your Name"	""	"SDA Hymnal (SDAH)"	"Holy God, we praise Your name;
Lord of all, we bow before You!
All on earth Your scepter claim,
All in heaven above adore You;
Infinite Your vast domain.
Everlasting is Your reign."	"Hark! the loud celestial hymn
Angel choirs above are raising,
Cherubim and seraphim,
In unceasing chorus praising;
Fill the heavens with sweet accord:
Holy, holy, holy, Lord."	"Holy Father, Holy Son,
Holy Spirit, three we name You;
While in essence only one,
Undivided God we claim You;
And adoring bend the knee,
While we own the mystery."	""	""	""	""	""
"SDAH_31"	"31. Tell Out, My Soul"	""	"SDA Hymnal (SDAH)"	"Tell out my soul, the greatness of the Lord:
Unnumbered blessings, give my spirit voice;
Tender to me the promise of His word;
In God my Savior shall my heart rejoice."	"Tell out, my soul, the greatness of His name:
Make known His might, the deeds His arm has done;
His mercy sure, from age to age the same;
His holy name, the Lord, the Mighty One."	"Tell out, my soul, the greatness of His might:
Pow'rs and dominions lay their glory by;
Proud hearts and stubborn wills are put to flight,
The hungry fed, the humble lifted high."	"Tell out, my soul, the glories of His word:
Firm is His promise, and His mercy sure.
Tell out, my soul, the greatness of the Lord
To children's children and forevermore."	""	""	""	""
"SDAH_32"	"32. When in Our Music God Is Glorified"	""	"SDA Hymnal (SDAH)"	"When in our music God is glorified,
And adoration leaves no room for pride,
It is as though the whole creation cried:
Alleluia!"	"How oft, in making music, we have found
A new dimension in the world of sound,
As worship moved us to a more profound
Alleluia!"	"And did not Jesus sing a psalm that night
When utmost evil strove against the light?
Then let us sing for whom He won the fight:
Alleluia!"	"Let every instrument be used for praise;
Let all rejoice who have a voice to raise;
And may God give us faith to sing always:
Alleluia!"	""	""	""	""
"SDAH_33"	"33. Sing a New Song to the Lord"	""	"SDA Hymnal (SDAH)"	"Sing a new song to the Lord,
He to whom wonders belong.
Rejoice in His triumph and tell of His power.
O sing a new song to the Lord."	"Now to the ends of the earth
See His salvation is shown.
And still He remembers His mercy and truth,
Unchanging in love to His own."	"Sing a new song and rejoice.
Publish His praises abroad.
Let voices in chorus with trumpet and horn,
Resound for the joy of the Lord."	"Join with the hills and the sea,
Thunders of praise to prolong.
In judgement and justice He comes to the earth.
O sing a new song to the Lord."	""	""	""	""
"SDAH_34"	"34. Wake the Song"	""	"SDA Hymnal (SDAH)"	"Wake the song of joy and gladness;
Hither bring your noblest lays;
Banish every thought of sadness,
Pouring forth your highest praise.
Sing to Him whose care has brought us
Once again with friends to meet,
And whose loving voice has taught us
Of the way to Jesus' feet."	"Wake the song, wake the song,
The song of joy and gladness,
Wake the song, wake the song,
The song of Jubilee."	"Joyfully with songs and banners,
We will greet the festal day;
Shout aloud our glad hosannas,
And our grateful homage pay.
We will chant our Savior's glory
while our thoughts we raise above,
Telling still ""the old, old story,""
Precious theme — redeeming love!"	"Thanks to Thee, O holy Father,
For the mercies of the year;
May each heart, as here we gather,
Swell with gratitude sincere.
Thanks to Thee, O loving Savior,
For redemption through Thy blood.
Breathe upon us, Holy Spirit,
Sweetly draw us near to God."	""	""	""	""
"SDAH_35"	"35. With Songs and Honors"	""	"SDA Hymnal (SDAH)"	"With songs and honors sounding loud,
Address the Lord on high;
Over the heavens He spreads His cloud,
And waters veil the sky."	"He sends His showers of blessing down
To cheer the plains below;
He makes the grass the mountains crown,
And corn in valleys grow."	"His steady counsels change the face
Of the declining year;
He bids the sun cut short his race,
And wintry days appear."	"He sends His word, and melts the snow;
The fields no longer mourn;
He calls the warmer gales to blow,
And bids the spring return."	"The changing wind, the flying cloud,
Obey His mighty word:
With songs and honors sounding loud
Praise ye the sovereign Lord!"	""	""	""
"SDAH_36"	"36. O Thou in Whose Presence"	""	"SDA Hymnal (SDAH)"	"O Thou in whose presence my soul takes delight,
On whom in affliction I call,
My comfort by day and my song in the night,
My hope, my salvation, my all!"	"His voice, as the sound of the dulcimer sweet,
Is heard through the shadows of death;
The cedars of Lebanon bow at His feet,
The air is perfumed with His breath."	"His lips, as a fountain of righteousness flow,
To water the gardens of grace;
From which their salvation the Gentiles shall know,
And bask in the smiles of His face."	"He looks, and ten thousands of angels rejoice,
And myriads wait for His word;
He speaks, and eternity, filled with His voice,
Reechoes the praise of the Lord."	""	""	""	""
"SDAH_37"	"37. O Sing, My Soul, Your Maker's Praise"	""	"SDA Hymnal (SDAH)"	"O sing my soul, your Maker's praise
In grateful hymns ascending;
Whose steadfast love has crowned your days
With heav'nly gifts unending.
I sought the Lord, He heard my cry;
His holy angels hover nigh
The tents of those who love Him."	"The Lord is good to those who seek
His face in time of sorrow,
Providing comfort to the weak
And grace for each tomorrow.
Though grief may tarry for a night,
The morn shall break in joy and light
With blessings from His presence."	"The Lord will turn His face in peace
When troubled souls draw near Him;
His loving-kindness shall not cease
To those who trust and fear Him.
Our God will not forsake His own;
Eternal is His heav'nly throne;
His kingdom stands forever."	""	""	""	""	""
"SDAH_38"	"38. Arise, My Soul, Arise!"	""	"SDA Hymnal (SDAH)"	"Arise, my soul, arise!
Stretch forth to things eternal
And hasten to the feet of your Redeemer God.
Though hid from mortal eyes,
He dwells in light supernal;
Yet worship Him in humbleness and call Him Lord.
His banquet of love
Awaits you above;
Yet here He grants a foretaste of the feast to come!
Rejoice, my soul, rejoice,
To heav'n lift up your voice:
Alleluia, alleluia, alleluia!"	"Now hear the harps of heav'n!
Oh, hear the song victorious,
The never-ending anthem sounding through the sky!
To mortals is not giv'n
To join in strains so glorious;
Yet here on earth we too can sing our praises high!
He bought with His blood
The ransomed of God;
To Him be everlasting pow'r and victory.
And let the great amen
Resound through heav'n again.
Alleluia, alleluia, alleluia!"	""	""	""	""	""	""
"SDAH_39"	"39. Lord, in the Morning"	""	"SDA Hymnal (SDAH)"	"Lord, in the morning Thou shalt hear
My voice ascending high;
To Thee will I direct my prayer,
To Thee lift up mine eye —"	"Up to the hills where Christ is gone
To plead for all His saints,
Presenting at His Father's throne
Our songs and our complaints."	"O may Thy Spirit guide my feet
In ways of righteousness;
Make every path of duty straight
And plain before my face."	"The men that love and fear Thy name
Shall see their hopes fulfilled;
The mighty God will compass them
With favor as a shield."	""	""	""	""
"SDAH_40"	"40. The Dawn of God's Dear Sabbath"	""	"SDA Hymnal (SDAH)"	"The dawn of God's dear Sabbath,
Breaks o'er the earth again,
As some sweet summer morning
After a night of pain;
It comes as cooling showers
To some exhausted land,
As shade of clustered palm trees
'Mid weary wastes of sand."	"Lord, we would bring for offering,
Though marred with earthly soil,
A week of earnest labor,
Of steady, faithful toil,
Fair fruits of self-denial,
Of strong, deep love to Thee,
Fostered by Thine own Spirit,
In true humility."	"And we would bring our burden
Of sinful thought and deed,
In Thy pure presence kneeling,
From bondage to be freed,
Our heart's most bitter sorrow
For all Thy work undone —
So many talents wasted!
So few bright laurels won!"	"And with that sorrow mingling,
A steadfast faith, and sure,
And love so deep and fervent,
For Thee to make it pure,
In Thy dear presence finding
The pardon that we need,
And then the peace so lasting —
Celestial peace indeed."	""	""	""	""
